fused_feature	layer	original_feature	fold
METH__feature_12786	DNA methylation	feature_12786	2
METH__PARP15.4	DNA methylation	PARP15.4	2
METH__feature_178585	DNA methylation	feature_178585	2
METH__EDAR.17	DNA methylation	EDAR.17	2
METH__feature_225321	DNA methylation	feature_225321	2
METH__C22orf9.10	DNA methylation	C22orf9.10	2
METH__SOX9	DNA methylation	SOX9	2
METH__IRX5.13	DNA methylation	IRX5.13	2
METH__SLITRK2.8	DNA methylation	SLITRK2.8	2
METH__BEX4.4	DNA methylation	BEX4.4	2
METH__PDZD4.31	DNA methylation	PDZD4.31	2
METH__TRIM31.62	DNA methylation	TRIM31.62	2
METH__TNXB.59	DNA methylation	TNXB.59	2
METH__EBF4.4	DNA methylation	EBF4.4	2
METH__NKX2-2.13	DNA methylation	NKX2-2.13	2
METH__RGS7.14	DNA methylation	RGS7.14	2
METH__FOXK1.53	DNA methylation	FOXK1.53	2
METH__feature_174939	DNA methylation	feature_174939	2
METH__ACOXL.2	DNA methylation	ACOXL.2	2
METH__feature_256457	DNA methylation	feature_256457	2
METH__RINL.3	DNA methylation	RINL.3	2
METH__feature_237721	DNA methylation	feature_237721	2
METH__feature_69411	DNA methylation	feature_69411	2
METH__EBF1.13	DNA methylation	EBF1.13	2
METH__SLITRK4.19	DNA methylation	SLITRK4.19	2
METH__SOX2;SOX2OT.7	DNA methylation	SOX2;SOX2OT.7	2
METH__HIST1H2BE.6	DNA methylation	HIST1H2BE.6	2
METH__COMP.17	DNA methylation	COMP.17	2
METH__feature_314067	DNA methylation	feature_314067	2
METH__feature_97848	DNA methylation	feature_97848	2
METH__GRM7.16	DNA methylation	GRM7.16	2
METH__feature_381738	DNA methylation	feature_381738	2
METH__feature_178060	DNA methylation	feature_178060	2
METH__feature_347979	DNA methylation	feature_347979	2
METH__feature_121680	DNA methylation	feature_121680	2
METH__DGKK.8	DNA methylation	DGKK.8	2
METH__MT1E.1	DNA methylation	MT1E.1	2
METH__SLC32A1.18	DNA methylation	SLC32A1.18	2
METH__ONECUT1.22	DNA methylation	ONECUT1.22	2
METH__feature_211190	DNA methylation	feature_211190	2
METH__feature_44347	DNA methylation	feature_44347	2
METH__OTUD5.10	DNA methylation	OTUD5.10	2
METH__EPHX3.12	DNA methylation	EPHX3.12	2
METH__GPRASP2.7	DNA methylation	GPRASP2.7	2
METH__JAK3.7	DNA methylation	JAK3.7	2
METH__SLC13A5.4	DNA methylation	SLC13A5.4	2
METH__feature_28661	DNA methylation	feature_28661	2
METH__feature_136151	DNA methylation	feature_136151	2
METH__feature_333826	DNA methylation	feature_333826	2
METH__EBF3.144	DNA methylation	EBF3.144	2
METH__KRT222.8	DNA methylation	KRT222.8	2
METH__NPBWR1.11	DNA methylation	NPBWR1.11	2
METH__DLX5.32	DNA methylation	DLX5.32	2
METH__POLA1.7	DNA methylation	POLA1.7	2
METH__feature_67478	DNA methylation	feature_67478	2
METH__ZNF177.8	DNA methylation	ZNF177.8	2
METH__DLX5.12	DNA methylation	DLX5.12	2
METH__PRDM13.29	DNA methylation	PRDM13.29	2
METH__SACS.23	DNA methylation	SACS.23	2
METH__HTR6.18	DNA methylation	HTR6.18	2
METH__ITPKB.49	DNA methylation	ITPKB.49	2
METH__FLNC.41	DNA methylation	FLNC.41	2
METH__feature_331268	DNA methylation	feature_331268	2
METH__MECOM.6	DNA methylation	MECOM.6	2
METH__IGFL2.2	DNA methylation	IGFL2.2	2
METH__GTF2A1L;STON1-GTF2A1L.1	DNA methylation	GTF2A1L;STON1-GTF2A1L.1	2
METH__EVX2.3	DNA methylation	EVX2.3	2
METH__RPL39.3	DNA methylation	RPL39.3	2
METH__UCKL1.5	DNA methylation	UCKL1.5	2
METH__CSMD3.36	DNA methylation	CSMD3.36	2
METH__MOSPD2;FANCB.8	DNA methylation	MOSPD2;FANCB.8	2
METH__feature_208887	DNA methylation	feature_208887	2
METH__PTPRN2.234	DNA methylation	PTPRN2.234	2
METH__VAX1.39	DNA methylation	VAX1.39	2
METH__feature_174961	DNA methylation	feature_174961	2
METH__feature_390581	DNA methylation	feature_390581	2
METH__feature_200533	DNA methylation	feature_200533	2
METH__IKZF1.9	DNA methylation	IKZF1.9	2
METH__BCAN.15	DNA methylation	BCAN.15	2
METH__HN1.10	DNA methylation	HN1.10	2
METH__BNIP3.31	DNA methylation	BNIP3.31	2
METH__feature_142178	DNA methylation	feature_142178	2
METH__CRMP1.2	DNA methylation	CRMP1.2	2
METH__MACROD1.9	DNA methylation	MACROD1.9	2
METH__SYP.8	DNA methylation	SYP.8	2
METH__feature_199545	DNA methylation	feature_199545	2
METH__C9orf167.17	DNA methylation	C9orf167.17	2
METH__feature_170683	DNA methylation	feature_170683	2
METH__ZXDB.2	DNA methylation	ZXDB.2	2
METH__feature_161276	DNA methylation	feature_161276	2
METH__feature_351989	DNA methylation	feature_351989	2
METH__feature_290504	DNA methylation	feature_290504	2
METH__MTM1.6	DNA methylation	MTM1.6	2
METH__FSD1.13	DNA methylation	FSD1.13	2
METH__FGFR2.46	DNA methylation	FGFR2.46	2
METH__LPP.9	DNA methylation	LPP.9	2
METH__MGRN1.8	DNA methylation	MGRN1.8	2
METH__DNASE1L1;TAFAZZIN.2	DNA methylation	DNASE1L1;TAFAZZIN.2	2
METH__NHS.4	DNA methylation	NHS.4	2
METH__ADARB2.260	DNA methylation	ADARB2.260	2
METH__STARD8	DNA methylation	STARD8	2
METH__CUGBP2.75	DNA methylation	CUGBP2.75	2
METH__feature_12084	DNA methylation	feature_12084	2
METH__HOXB4.23	DNA methylation	HOXB4.23	2
METH__GFPT2.29	DNA methylation	GFPT2.29	2
METH__44631.16	DNA methylation	44631.16	2
METH__MIR155HG.3	DNA methylation	MIR155HG.3	2
METH__feature_322211	DNA methylation	feature_322211	2
METH__feature_356956	DNA methylation	feature_356956	2
METH__feature_331883	DNA methylation	feature_331883	2
METH__feature_133349	DNA methylation	feature_133349	2
METH__TFAP2A.47	DNA methylation	TFAP2A.47	2
METH__feature_107844	DNA methylation	feature_107844	2
METH__NEDD4L.34	DNA methylation	NEDD4L.34	2
METH__MAP3K5.3	DNA methylation	MAP3K5.3	2
METH__GJB2.5	DNA methylation	GJB2.5	2
METH__feature_206186	DNA methylation	feature_206186	2
METH__SCML1.9	DNA methylation	SCML1.9	2
METH__KIAA1908.3	DNA methylation	KIAA1908.3	2
METH__WDR45.19	DNA methylation	WDR45.19	2
METH__PTPRN2.609	DNA methylation	PTPRN2.609	2
METH__feature_277261	DNA methylation	feature_277261	2
METH__FLJ45983;GATA3.28	DNA methylation	FLJ45983;GATA3.28	2
METH__TBKBP1.13	DNA methylation	TBKBP1.13	2
METH__TSHZ3.7	DNA methylation	TSHZ3.7	2
METH__feature_68989	DNA methylation	feature_68989	2
METH__UTRN.13	DNA methylation	UTRN.13	2
METH__feature_319168	DNA methylation	feature_319168	2
METH__ZNF132.7	DNA methylation	ZNF132.7	2
METH__FAT4.15	DNA methylation	FAT4.15	2
METH__SLC6A2.11	DNA methylation	SLC6A2.11	2
METH__OBP2A	DNA methylation	OBP2A	2
METH__C1orf70.17	DNA methylation	C1orf70.17	2
METH__GRWD1;GRIN2D	DNA methylation	GRWD1;GRIN2D	2
METH__CARD11.42	DNA methylation	CARD11.42	2
METH__feature_145228	DNA methylation	feature_145228	2
METH__MT1M.7	DNA methylation	MT1M.7	2
METH__KATNAL2.5	DNA methylation	KATNAL2.5	2
METH__feature_129059	DNA methylation	feature_129059	2
METH__TGIF2LX.3	DNA methylation	TGIF2LX.3	2
METH__SHROOM4.4	DNA methylation	SHROOM4.4	2
METH__SLC22A16.1	DNA methylation	SLC22A16.1	2
METH__feature_211130	DNA methylation	feature_211130	2
METH__feature_62407	DNA methylation	feature_62407	2
METH__SP5.6	DNA methylation	SP5.6	2
METH__FAM184B.8	DNA methylation	FAM184B.8	2
METH__IKZF4.8	DNA methylation	IKZF4.8	2
METH__PIF1.1	DNA methylation	PIF1.1	2
METH__GTF2A1L;STON1-GTF2A1L.8	DNA methylation	GTF2A1L;STON1-GTF2A1L.8	2
METH__PRDM16.366	DNA methylation	PRDM16.366	2
METH__C3orf16.2	DNA methylation	C3orf16.2	2
METH__TBX20.11	DNA methylation	TBX20.11	2
METH__feature_259503	DNA methylation	feature_259503	2
METH__feature_56473	DNA methylation	feature_56473	2
METH__LPP.63	DNA methylation	LPP.63	2
METH__feature_160797	DNA methylation	feature_160797	2
METH__C7.2	DNA methylation	C7.2	2
METH__GALR1.28	DNA methylation	GALR1.28	2
METH__NRK.5	DNA methylation	NRK.5	2
METH__feature_295795	DNA methylation	feature_295795	2
METH__feature_24004	DNA methylation	feature_24004	2
METH__feature_99178	DNA methylation	feature_99178	2
METH__feature_142929	DNA methylation	feature_142929	2
METH__feature_261323	DNA methylation	feature_261323	2
METH__ADAMTSL5.8	DNA methylation	ADAMTSL5.8	2
METH__feature_167044	DNA methylation	feature_167044	2
METH__THY1.14	DNA methylation	THY1.14	2
METH__feature_24181	DNA methylation	feature_24181	2
METH__feature_146446	DNA methylation	feature_146446	2
METH__BLID;LOC399959.2	DNA methylation	BLID;LOC399959.2	2
METH__INSM1.9	DNA methylation	INSM1.9	2
METH__CPT1A.31	DNA methylation	CPT1A.31	2
METH__KCNC2.13	DNA methylation	KCNC2.13	2
METH__LBXCOR1.13	DNA methylation	LBXCOR1.13	2
METH__HRNBP3.85	DNA methylation	HRNBP3.85	2
METH__ANKRD45.4	DNA methylation	ANKRD45.4	2
METH__feature_248568	DNA methylation	feature_248568	2
METH__feature_390336	DNA methylation	feature_390336	2
METH__feature_9168	DNA methylation	feature_9168	2
METH__feature_299788	DNA methylation	feature_299788	2
METH__LRRC3B.22	DNA methylation	LRRC3B.22	2
METH__PRRT1.32	DNA methylation	PRRT1.32	2
METH__ACSL4.1	DNA methylation	ACSL4.1	2
METH__UBTF.27	DNA methylation	UBTF.27	2
METH__CAMTA1.46	DNA methylation	CAMTA1.46	2
METH__C7orf50.113	DNA methylation	C7orf50.113	2
METH__C1orf87	DNA methylation	C1orf87	2
METH__feature_143594	DNA methylation	feature_143594	2
METH__CDH11.17	DNA methylation	CDH11.17	2
METH__MIR193B.5	DNA methylation	MIR193B.5	2
METH__feature_43258	DNA methylation	feature_43258	2
METH__TMEM26.4	DNA methylation	TMEM26.4	2
METH__feature_271548	DNA methylation	feature_271548	2
METH__HOXA1.11	DNA methylation	HOXA1.11	2
METH__QRFPR.9	DNA methylation	QRFPR.9	2
METH__LHX8.14	DNA methylation	LHX8.14	2
METH__feature_254710	DNA methylation	feature_254710	2
METH__SOSTDC1.1	DNA methylation	SOSTDC1.1	2
METH__ACOT9.9	DNA methylation	ACOT9.9	2
METH__ADARB2.162	DNA methylation	ADARB2.162	2
METH__feature_356426	DNA methylation	feature_356426	2
METH__ACSL4.3	DNA methylation	ACSL4.3	2
METH__ARMCX1.4	DNA methylation	ARMCX1.4	2
METH__FARP1.19	DNA methylation	FARP1.19	2
METH__AP2A2.60	DNA methylation	AP2A2.60	2
METH__FLJ45983;GATA3.23	DNA methylation	FLJ45983;GATA3.23	2
METH__44631.8	DNA methylation	44631.8	2
METH__MGC45800.5	DNA methylation	MGC45800.5	2
METH__SCGN.7	DNA methylation	SCGN.7	2
METH__OSTalpha.3	DNA methylation	OSTalpha.3	2
METH__CBLN1.11	DNA methylation	CBLN1.11	2
METH__LMTK3.25	DNA methylation	LMTK3.25	2
METH__ME3.2	DNA methylation	ME3.2	2
METH__RSPH9.8	DNA methylation	RSPH9.8	2
METH__feature_69831	DNA methylation	feature_69831	2
METH__NOTCH4.21	DNA methylation	NOTCH4.21	2
METH__DMD.7	DNA methylation	DMD.7	2
METH__HCCA2;DUSP8.2	DNA methylation	HCCA2;DUSP8.2	2
METH__C12orf56.10	DNA methylation	C12orf56.10	2
METH__TLX1.17	DNA methylation	TLX1.17	2
METH__HLX.14	DNA methylation	HLX.14	2
METH__feature_383139	DNA methylation	feature_383139	2
METH__feature_351882	DNA methylation	feature_351882	2
METH__PRRG1.3	DNA methylation	PRRG1.3	2
METH__HCCA2;LOC402778.5	DNA methylation	HCCA2;LOC402778.5	2
METH__feature_318034	DNA methylation	feature_318034	2
METH__KCNK2.7	DNA methylation	KCNK2.7	2
METH__POM121L12.7	DNA methylation	POM121L12.7	2
METH__CLVS2.6	DNA methylation	CLVS2.6	2
METH__TGFB3.3	DNA methylation	TGFB3.3	2
METH__SCML2.3	DNA methylation	SCML2.3	2
METH__feature_28	DNA methylation	feature_28	2
METH__HOXB4.15	DNA methylation	HOXB4.15	2
METH__NOTCH4;GPSM3.22	DNA methylation	NOTCH4;GPSM3.22	2
METH__MOSPD2;FANCB.5	DNA methylation	MOSPD2;FANCB.5	2
METH__feature_358939	DNA methylation	feature_358939	2
METH__MTMR1.14	DNA methylation	MTMR1.14	2
METH__C11orf75.10	DNA methylation	C11orf75.10	2
METH__MIR205HG;MIR205.1	DNA methylation	MIR205HG;MIR205.1	2
METH__TMEM49	DNA methylation	TMEM49	2
METH__ARMCX4.14	DNA methylation	ARMCX4.14	2
METH__CNTNAP2.17	DNA methylation	CNTNAP2.17	2
METH__MYO10.54	DNA methylation	MYO10.54	2
METH__RGS12.88	DNA methylation	RGS12.88	2
METH__feature_143639	DNA methylation	feature_143639	2
METH__feature_83651	DNA methylation	feature_83651	2
METH__IL13RA1.7	DNA methylation	IL13RA1.7	2
METH__feature_332673	DNA methylation	feature_332673	2
METH__LOC440335;SEPT12.2	DNA methylation	LOC440335;SEPT12.2	2
METH__feature_375847	DNA methylation	feature_375847	2
METH__UNCX.18	DNA methylation	UNCX.18	2
METH__TLX2.16	DNA methylation	TLX2.16	2
METH__AHRR.68	DNA methylation	AHRR.68	2
METH__feature_250608	DNA methylation	feature_250608	2
METH__MIR200B.1	DNA methylation	MIR200B.1	2
METH__EMX2OS;EMX2.8	DNA methylation	EMX2OS;EMX2.8	2
METH__feature_206057	DNA methylation	feature_206057	2
METH__GALNT13.5	DNA methylation	GALNT13.5	2
METH__RCN3.8	DNA methylation	RCN3.8	2
METH__GATA5.1	DNA methylation	GATA5.1	2
METH__feature_65114	DNA methylation	feature_65114	2
METH__feature_278928	DNA methylation	feature_278928	2
METH__DGKG.23	DNA methylation	DGKG.23	2
METH__feature_201411	DNA methylation	feature_201411	2
METH__IGF1R.104	DNA methylation	IGF1R.104	2
METH__feature_316506	DNA methylation	feature_316506	2
METH__feature_213201	DNA methylation	feature_213201	2
METH__GDF10.3	DNA methylation	GDF10.3	2
METH__PPM1H.39	DNA methylation	PPM1H.39	2
METH__FGF13	DNA methylation	FGF13	2
METH__NFATC1.116	DNA methylation	NFATC1.116	2
METH__IFT140.23	DNA methylation	IFT140.23	2
METH__CDC42BPB.47	DNA methylation	CDC42BPB.47	2
METH__feature_173787	DNA methylation	feature_173787	2
METH__IL1RAPL2.4	DNA methylation	IL1RAPL2.4	2
METH__feature_87148	DNA methylation	feature_87148	2
METH__feature_177593	DNA methylation	feature_177593	2
METH__RNMTL1.5	DNA methylation	RNMTL1.5	2
METH__DKK1.11	DNA methylation	DKK1.11	2
METH__PTPRN2.268	DNA methylation	PTPRN2.268	2
METH__GNL3L.11	DNA methylation	GNL3L.11	2
METH__CACNA1H.91	DNA methylation	CACNA1H.91	2
METH__LRRN2.16	DNA methylation	LRRN2.16	2
METH__feature_171230	DNA methylation	feature_171230	2
METH__TSPAN4.31	DNA methylation	TSPAN4.31	2
METH__feature_228245	DNA methylation	feature_228245	2
METH__WNK4.12	DNA methylation	WNK4.12	2
METH__SOX2OT.51	DNA methylation	SOX2OT.51	2
METH__ZIC4;ZIC1	DNA methylation	ZIC4;ZIC1	2
METH__feature_231946	DNA methylation	feature_231946	2
METH__feature_131078	DNA methylation	feature_131078	2
METH__NHLH2.14	DNA methylation	NHLH2.14	2
METH__feature_151615	DNA methylation	feature_151615	2
METH__HMGB3.7	DNA methylation	HMGB3.7	2
METH__DHX40.3	DNA methylation	DHX40.3	2
METH__feature_245049	DNA methylation	feature_245049	2
METH__HOXD13.4	DNA methylation	HOXD13.4	2
METH__GDAP1L1.5	DNA methylation	GDAP1L1.5	2
METH__feature_341459	DNA methylation	feature_341459	2
METH__feature_310224	DNA methylation	feature_310224	2
METH__ASCL1.13	DNA methylation	ASCL1.13	2
METH__feature_181003	DNA methylation	feature_181003	2
METH__feature_382376	DNA methylation	feature_382376	2
METH__SCARA5.14	DNA methylation	SCARA5.14	2
METH__ZBTB38.7	DNA methylation	ZBTB38.7	2
METH__AHNAK.2	DNA methylation	AHNAK.2	2
METH__LHX9.8	DNA methylation	LHX9.8	2
METH__feature_69337	DNA methylation	feature_69337	2
METH__FAM123A.6	DNA methylation	FAM123A.6	2
METH__feature_312916	DNA methylation	feature_312916	2
METH__AGRN.33	DNA methylation	AGRN.33	2
METH__SHROOM4.6	DNA methylation	SHROOM4.6	2
METH__PROM1.2	DNA methylation	PROM1.2	2
METH__NAPRT1.9	DNA methylation	NAPRT1.9	2
METH__feature_185426	DNA methylation	feature_185426	2
METH__NID2.18	DNA methylation	NID2.18	2
METH__feature_392789	DNA methylation	feature_392789	2
METH__SELENBP1.6	DNA methylation	SELENBP1.6	2
METH__RASSF3.11	DNA methylation	RASSF3.11	2
METH__DOCK6.19	DNA methylation	DOCK6.19	2
METH__feature_344842	DNA methylation	feature_344842	2
METH__MRGPRF.27	DNA methylation	MRGPRF.27	2
METH__MIR124-2.9	DNA methylation	MIR124-2.9	2
METH__PRRT1.15	DNA methylation	PRRT1.15	2
METH__PTPRN2.136	DNA methylation	PTPRN2.136	2
METH__FOXK1.44	DNA methylation	FOXK1.44	2
METH__feature_373812	DNA methylation	feature_373812	2
METH__CACNA1H.148	DNA methylation	CACNA1H.148	2
METH__ZFP82.6	DNA methylation	ZFP82.6	2
METH__feature_171108	DNA methylation	feature_171108	2
METH__PTPRN2.904	DNA methylation	PTPRN2.904	2
METH__UBL4A.2	DNA methylation	UBL4A.2	2
METH__PXDN.48	DNA methylation	PXDN.48	2
METH__C7orf50.43	DNA methylation	C7orf50.43	2
METH__CYBA.2	DNA methylation	CYBA.2	2
METH__INSC.9	DNA methylation	INSC.9	2
METH__UBL4A	DNA methylation	UBL4A	2
METH__MAGED1.8	DNA methylation	MAGED1.8	2
METH__FAM104B.13	DNA methylation	FAM104B.13	2
METH__ISM1.30	DNA methylation	ISM1.30	2
METH__feature_133473	DNA methylation	feature_133473	2
METH__feature_267536	DNA methylation	feature_267536	2
METH__NBEAL2.4	DNA methylation	NBEAL2.4	2
METH__HTR2A.7	DNA methylation	HTR2A.7	2
METH__TBX5.12	DNA methylation	TBX5.12	2
METH__SLC6A18.28	DNA methylation	SLC6A18.28	2
METH__SLC8A3.27	DNA methylation	SLC8A3.27	2
METH__ARMCX1.11	DNA methylation	ARMCX1.11	2
METH__MMP2.12	DNA methylation	MMP2.12	2
METH__feature_287108	DNA methylation	feature_287108	2
METH__feature_246635	DNA methylation	feature_246635	2
METH__feature_1094	DNA methylation	feature_1094	2
METH__feature_355509	DNA methylation	feature_355509	2
METH__PRDM16.255	DNA methylation	PRDM16.255	2
METH__GPR133.24	DNA methylation	GPR133.24	2
METH__TMEM132D.65	DNA methylation	TMEM132D.65	2
METH__RADIL.38	DNA methylation	RADIL.38	2
METH__TRIM36.22	DNA methylation	TRIM36.22	2
METH__APC.14	DNA methylation	APC.14	2
METH__SEZ6L2.16	DNA methylation	SEZ6L2.16	2
METH__TWIST1.31	DNA methylation	TWIST1.31	2
METH__WIPI2	DNA methylation	WIPI2	2
METH__CIDEA.6	DNA methylation	CIDEA.6	2
METH__C14orf23.25	DNA methylation	C14orf23.25	2
METH__IGFBP3.1	DNA methylation	IGFBP3.1	2
METH__C17orf68	DNA methylation	C17orf68	2
METH__THBS2.14	DNA methylation	THBS2.14	2
METH__MAP4K1;EIF3K.11	DNA methylation	MAP4K1;EIF3K.11	2
METH__feature_3828	DNA methylation	feature_3828	2
METH__HCK.12	DNA methylation	HCK.12	2
METH__DAB1.16	DNA methylation	DAB1.16	2
METH__GDF7.20	DNA methylation	GDF7.20	2
METH__feature_204320	DNA methylation	feature_204320	2
METH__feature_256012	DNA methylation	feature_256012	2
METH__UNCX.19	DNA methylation	UNCX.19	2
METH__feature_34466	DNA methylation	feature_34466	2
METH__HMHA1.35	DNA methylation	HMHA1.35	2
METH__feature_132388	DNA methylation	feature_132388	2
METH__SMPD3.17	DNA methylation	SMPD3.17	2
METH__feature_45787	DNA methylation	feature_45787	2
METH__MIR196B.10	DNA methylation	MIR196B.10	2
METH__feature_336326	DNA methylation	feature_336326	2
METH__KLHL14.13	DNA methylation	KLHL14.13	2
METH__ESYT3.4	DNA methylation	ESYT3.4	2
METH__feature_330090	DNA methylation	feature_330090	2
METH__ETV2	DNA methylation	ETV2	2
METH__SFRS1.6	DNA methylation	SFRS1.6	2
METH__BEX4.7	DNA methylation	BEX4.7	2
METH__feature_247328	DNA methylation	feature_247328	2
METH__RPTOR.265	DNA methylation	RPTOR.265	2
METH__KLC2;RAB1B.10	DNA methylation	KLC2;RAB1B.10	2
METH__DSC3.13	DNA methylation	DSC3.13	2
METH__ARMCX4.9	DNA methylation	ARMCX4.9	2
METH__KIAA2022.11	DNA methylation	KIAA2022.11	2
METH__feature_138701	DNA methylation	feature_138701	2
METH__HIST1H1B.1	DNA methylation	HIST1H1B.1	2
METH__BEX5.2	DNA methylation	BEX5.2	2
METH__NR2E1.47	DNA methylation	NR2E1.47	2
METH__HCN2.15	DNA methylation	HCN2.15	2
METH__feature_150607	DNA methylation	feature_150607	2
METH__feature_383084	DNA methylation	feature_383084	2
METH__C7orf50.175	DNA methylation	C7orf50.175	2
METH__MORN1.52	DNA methylation	MORN1.52	2
METH__feature_223570	DNA methylation	feature_223570	2
METH__BTG2.1	DNA methylation	BTG2.1	2
METH__HIST1H3B.8	DNA methylation	HIST1H3B.8	2
METH__AGPAT6.6	DNA methylation	AGPAT6.6	2
METH__CNGA3.23	DNA methylation	CNGA3.23	2
METH__SYN2.8	DNA methylation	SYN2.8	2
METH__POU4F1.16	DNA methylation	POU4F1.16	2
METH__MUC5B.46	DNA methylation	MUC5B.46	2
METH__DUSP22.22	DNA methylation	DUSP22.22	2
METH__ADAM11.20	DNA methylation	ADAM11.20	2
METH__ZDHHC19.12	DNA methylation	ZDHHC19.12	2
METH__SLC6A15.1	DNA methylation	SLC6A15.1	2
METH__feature_148973	DNA methylation	feature_148973	2
METH__PRKAR1B.103	DNA methylation	PRKAR1B.103	2
METH__AXIN2.7	DNA methylation	AXIN2.7	2
METH__BARX1.7	DNA methylation	BARX1.7	2
METH__EFNB1.18	DNA methylation	EFNB1.18	2
METH__HOXA1.10	DNA methylation	HOXA1.10	2
METH__USP27X;LOC158572	DNA methylation	USP27X;LOC158572	2
METH__feature_17084	DNA methylation	feature_17084	2
METH__SLC17A9.17	DNA methylation	SLC17A9.17	2
METH__MAP3K11.16	DNA methylation	MAP3K11.16	2
METH__CACNG8;MIR935.1	DNA methylation	CACNG8;MIR935.1	2
METH__BRUNOL4.6	DNA methylation	BRUNOL4.6	2
METH__LPPR5.5	DNA methylation	LPPR5.5	2
METH__PAK1.6	DNA methylation	PAK1.6	2
METH__feature_18498	DNA methylation	feature_18498	2
METH__feature_292512	DNA methylation	feature_292512	2
METH__feature_265581	DNA methylation	feature_265581	2
METH__feature_225831	DNA methylation	feature_225831	2
METH__SALL1.2	DNA methylation	SALL1.2	2
METH__C14orf162.9	DNA methylation	C14orf162.9	2
METH__OPRL1.4	DNA methylation	OPRL1.4	2
METH__SHISA9.15	DNA methylation	SHISA9.15	2
METH__PAX8;LOC654433;LOC440839.12	DNA methylation	PAX8;LOC654433;LOC440839.12	2
METH__TNXB.22	DNA methylation	TNXB.22	2
METH__BNC1.5	DNA methylation	BNC1.5	2
METH__IRX1.13	DNA methylation	IRX1.13	2
METH__NAP1L6.2	DNA methylation	NAP1L6.2	2
METH__SLC1A3.21	DNA methylation	SLC1A3.21	2
METH__feature_135258	DNA methylation	feature_135258	2
METH__feature_19628	DNA methylation	feature_19628	2
METH__ZIC1.2	DNA methylation	ZIC1.2	2
METH__COL9A2.14	DNA methylation	COL9A2.14	2
METH__ABR.63	DNA methylation	ABR.63	2
METH__feature_273661	DNA methylation	feature_273661	2
METH__feature_188677	DNA methylation	feature_188677	2
METH__feature_217208	DNA methylation	feature_217208	2
METH__feature_119736	DNA methylation	feature_119736	2
METH__feature_190519	DNA methylation	feature_190519	2
METH__EMID2.18	DNA methylation	EMID2.18	2
METH__feature_109127	DNA methylation	feature_109127	2
METH__TXNRD2.7	DNA methylation	TXNRD2.7	2
METH__SLC7A3.6	DNA methylation	SLC7A3.6	2
METH__DPPA2	DNA methylation	DPPA2	2
METH__ANO1.64	DNA methylation	ANO1.64	2
METH__LRRC27.6	DNA methylation	LRRC27.6	2
METH__DSP.5	DNA methylation	DSP.5	2
METH__GUCA1A.6	DNA methylation	GUCA1A.6	2
METH__GATA4.35	DNA methylation	GATA4.35	2
METH__feature_268784	DNA methylation	feature_268784	2
METH__LRP12.11	DNA methylation	LRP12.11	2
METH__EMX2OS;EMX2.4	DNA methylation	EMX2OS;EMX2.4	2
METH__SLC6A3.38	DNA methylation	SLC6A3.38	2
METH__CACNG8;MIR935.6	DNA methylation	CACNG8;MIR935.6	2
METH__feature_252295	DNA methylation	feature_252295	2
METH__B3GNTL1.111	DNA methylation	B3GNTL1.111	2
METH__ZNF667.3	DNA methylation	ZNF667.3	2
