layer	component	feature	selection_frequency	mean_abs_loading	median_abs_loading
RPPA	2	EIF4EBP1|4E-BP1_pS65	3	0.016005587201360683	0.011796102903193504
RPPA	2	FOXO3|FOXO3a_pS318_S321	3	0.012742545312842584	0.014757361531776264
RPPA	2	CDH1|E-Cadherin	2	0.07729705562661199	0.07729705562661199
RPPA	2	MTOR|mTOR_pS2448	2	0.056554633432570875	0.056554633432570875
RPPA	2	ACACA|ACC1	2	0.03627736992507975	0.03627736992507975
RPPA	2	CDKN1B|p27_pT198	2	0.031111764078245632	0.031111764078245632
RPPA	2	RPS6KA1|p90RSK	2	0.02942524858321473	0.02942524858321473
RPPA	2	PRKCB|PKC-pan_BetaII_pS660	2	0.019057197582369033	0.019057197582369033
RPPA	2	PGR|PR	2	0.008066385590546945	0.008066385590546945
RPPA	2	CHEK1|Chk1	2	0.007185103762356964	0.007185103762356964
RPPA	2	ESR1|ER-alpha	1	0.08204351608948657	0.08204351608948657
RPPA	2	SRSF1|SF2	1	0.06554454869173916	0.06554454869173916
RPPA	2	SCD1|SCD1	1	0.031678699083542636	0.031678699083542636
RPPA	2	EIF4EBP1|4E-BP1	1	0.02844890287587909	0.02844890287587909
